"","eeacellcode","yearmonth","basisofrecord","datasetkey","countrycode","occurrences","isCitizenScience","year","month","Floppy"
"48","","2018-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",2,1,2018,5,NA
"49","","2018-04","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2018,4,NA
"50","","2018-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2018,3,NA
"51","","2018-02","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2018,2,NA
"52","","2018-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2018,1,NA
"53","","2017-10","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2017,10,NA
"54","","2016-04","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2016,4,NA
"55","","2015-12","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",2,1,2015,12,NA
"56","","2014-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2014,1,NA
"57","","2013-02","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2013,2,NA
"58","","2011-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2011,6,NA
"59","","2011-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","ES",1,1,2011,1,NA
"60","","2007-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","RU",1,1,2007,7,NA
"61","","1989-08","PRESERVED_SPECIMEN","902c8fe7-8f38-45b0-854e-c324fed36303","RU",1,0,1989,8,NA
"62","","1976-07","PRESERVED_SPECIMEN","902c8fe7-8f38-45b0-854e-c324fed36303","RU",1,0,1976,7,NA
"63","10kmE228N209","2022-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","NL",1,1,2022,9,NA
"64","10kmE263N175","2023-05","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2023,5,NA
"65","10kmE263N175","2023-02","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,2,NA
"66","10kmE263N175","2001-04","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",2,0,2001,4,NA
"67","10kmE263N176","2021-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,8,NA
"68","10kmE263N195","2023-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,5,NA
"69","10kmE263N195","2022-10","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2022,10,NA
"70","10kmE263N195","2022-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,7,NA
"71","10kmE263N195","2022-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,5,NA
"72","10kmE263N195","2021-12","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,12,NA
"73","10kmE263N195","2021-11","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",4,1,2021,11,NA
"74","10kmE263N195","2020-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,9,NA
"75","10kmE263N195","2020-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",2,1,2020,8,NA
"76","10kmE263N195","2018-04","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2018,4,NA
"77","10kmE263N195","2017-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2017,10,NA
"78","10kmE263N195","2017-10","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2017,10,NA
"79","10kmE263N195","2016-03","HUMAN_OBSERVATION","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","PT",1,1,2016,3,NA
"80","10kmE263N195","2015-01","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2015,1,NA
"81","10kmE263N195","2014-01","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2014,1,NA
"82","10kmE263N195","2005-04","PRESERVED_SPECIMEN","834a4794-f762-11e1-a439-00145eb45e9a","PT",1,0,2005,4,NA
"83","10kmE263N195","1974-07","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1974,7,NA
"84","10kmE263N196","2023-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,8,NA
"85","10kmE263N196","2023-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,5,NA
"86","10kmE263N196","2022-08","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2022,8,NA
"87","10kmE263N196","2022-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,7,NA
"88","10kmE263N196","2012-06","PRESERVED_SPECIMEN","834a4794-f762-11e1-a439-00145eb45e9a","PT",1,0,2012,6,NA
"89","10kmE263N196","2012-06","PRESERVED_SPECIMEN","834c9918-f762-11e1-a439-00145eb45e9a","PT",1,0,2012,6,NA
"90","10kmE263N196","2012-06","PRESERVED_SPECIMEN","7f5260c2-f762-11e1-a439-00145eb45e9a","PT",1,0,2012,6,NA
"91","10kmE263N196","1969-08","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1969,8,NA
"92","10kmE264N175","2024-02","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2024,2,NA
"93","10kmE264N175","2023-10","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2023,10,NA
"94","10kmE264N175","2022-10","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2022,10,NA
"95","10kmE264N175","2022-02","HUMAN_OBSERVATION","14d5676a-2c54-4f94-9023-1e8dcd822aa0","PT",1,0,2022,2,NA
"96","10kmE264N175","2020-12","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,12,NA
"97","10kmE264N175","2014-10","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2014,10,NA
"98","10kmE264N175","2006-04","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2006,4,NA
"99","10kmE264N176","2023-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2023,3,NA
"100","10kmE264N176","2023-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2023,1,NA
"101","10kmE264N176","2022-05","HUMAN_OBSERVATION","7a3679ef-5582-4aaa-81f0-8c2545cafc81","PT",1,0,2022,5,NA
"102","10kmE264N176","2022-02","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2022,2,NA
"103","10kmE264N176","1988-06","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1988,6,NA
"104","10kmE264N177","2023-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,9,NA
"105","10kmE264N177","2022-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",2,1,2022,8,NA
"106","10kmE264N177","2022-03","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",3,1,2022,3,NA
"107","10kmE264N177","2021-10","HUMAN_OBSERVATION","6ac3f774-d9fb-4796-b3e9-92bf6c81c084","PT",1,1,2021,10,NA
"108","10kmE264N177","2020-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,10,NA
"109","10kmE264N177","2020-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,8,NA
"110","10kmE264N177","2020-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,6,NA
"111","10kmE264N177","2019-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2019,1,NA
"112","10kmE264N177","2014-04","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2014,4,NA
"113","10kmE264N177","2012-09","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,9,NA
"114","10kmE264N177","2008-01","HUMAN_OBSERVATION","e1beb83c-9b83-4d17-ac5e-d24e09507ec5","PT",1,1,2008,1,NA
"115","10kmE264N177","1988-06","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1988,6,NA
"116","10kmE264N193","2014-07","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2014,7,NA
"117","10kmE264N193","2012-12","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,12,NA
"118","10kmE264N194","2022-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,9,NA
"119","10kmE264N194","2018-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",2,1,2018,7,NA
"120","10kmE264N194","2018-07","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",2,1,2018,7,NA
"121","10kmE264N194","1932-06","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1932,6,NA
"122","10kmE264N196","2023-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,8,NA
"123","10kmE264N196","2021-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,9,NA
"124","10kmE264N196","1971-07","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1971,7,NA
"125","10kmE264N197","2024-03","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2024,3,NA
"126","10kmE264N197","2023-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,10,NA
"127","10kmE264N197","2022-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,8,NA
"128","10kmE264N197","2021-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,8,NA
"129","10kmE264N197","2012-06","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,6,NA
"130","10kmE264N198","2020-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,9,NA
"131","10kmE265N176","2023-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,9,NA
"132","10kmE265N176","2023-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2023,7,NA
"133","10kmE265N176","2023-01","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",2,1,2023,1,NA
"134","10kmE265N176","2022-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,9,NA
"135","10kmE265N176","2022-05","HUMAN_OBSERVATION","7a3679ef-5582-4aaa-81f0-8c2545cafc81","PT",1,0,2022,5,NA
"136","10kmE265N176","2021-12","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2021,12,NA
"137","10kmE265N176","2020-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,5,NA
"138","10kmE265N176","2016-12","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2016,12,NA
"139","10kmE265N176","2012-02","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2012,2,NA
"140","10kmE265N176","2012-02","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2012,2,NA
"141","10kmE265N178","2021-10","HUMAN_OBSERVATION","14d5676a-2c54-4f94-9023-1e8dcd822aa0","PT",2,0,2021,10,NA
"142","10kmE265N178","2020-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,6,NA
"143","10kmE265N178","2012-03","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,3,NA
"144","10kmE265N179","2021-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",2,1,2021,8,NA
"145","10kmE265N179","2021-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,7,NA
"146","10kmE265N179","2019-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2019,8,NA
"147","10kmE265N179","2019-08","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2019,8,NA
"148","10kmE265N179","2003-07","PRESERVED_SPECIMEN","837acfc2-f762-11e1-a439-00145eb45e9a","PT",1,0,2003,7,NA
"149","10kmE265N179","1988-06","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1988,6,NA
"150","10kmE265N179","1968-04","PRESERVED_SPECIMEN","835ac57e-f762-11e1-a439-00145eb45e9a","PT",1,0,1968,4,NA
"151","10kmE265N191","2024-01","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2024,1,NA
"152","10kmE265N191","2022-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,5,NA
"153","10kmE265N191","2014-04","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2014,4,NA
"154","10kmE265N191","2011-09","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2011,9,NA
"155","10kmE265N192","2022-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,8,NA
"156","10kmE265N192","2022-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,7,NA
"157","10kmE265N192","2022-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,5,NA
"158","10kmE265N192","2022-03","HUMAN_OBSERVATION","7a3679ef-5582-4aaa-81f0-8c2545cafc81","PT",1,0,2022,3,NA
"159","10kmE265N192","2022-03","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,3,NA
"160","10kmE265N192","2022-01","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,1,NA
"161","10kmE265N192","2021-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",2,1,2021,10,NA
"162","10kmE265N192","2020-09","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,9,NA
"163","10kmE265N192","2020-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,8,NA
"164","10kmE265N192","2020-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,5,NA
"165","10kmE265N192","2016-04","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",3,1,2016,4,NA
"166","10kmE265N192","2016-04","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",2,1,2016,4,NA
"167","10kmE265N192","2014-12","HUMAN_OBSERVATION","8a863029-f435-446a-821e-275f4f641165","PT",1,1,2014,12,NA
"168","10kmE265N192","2014-07","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",2,0,2014,7,NA
"169","10kmE265N192","2014-06","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2014,6,NA
"170","10kmE265N192","2014-05","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",2,0,2014,5,NA
"171","10kmE265N192","2013-10","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2013,10,NA
"172","10kmE265N192","2012-06","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,6,NA
"173","10kmE265N192","2012-03","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,3,NA
"174","10kmE265N193","2022-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,10,NA
"175","10kmE265N193","2022-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,5,NA
"176","10kmE265N193","2022-04","HUMAN_OBSERVATION","14d5676a-2c54-4f94-9023-1e8dcd822aa0","PT",1,0,2022,4,NA
"177","10kmE265N193","2022-04","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,4,NA
"178","10kmE265N193","2021-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,6,NA
"179","10kmE265N193","2021-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,5,NA
"180","10kmE265N193","2020-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,8,NA
"181","10kmE265N193","2020-05","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,5,NA
"182","10kmE265N193","2019-12","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2019,12,NA
"183","10kmE265N193","2018-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2018,8,NA
"184","10kmE265N193","2018-07","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2018,7,NA
"185","10kmE265N193","2018-07","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2018,7,NA
"186","10kmE265N193","2012-07","HUMAN_OBSERVATION","7fe3eb5c-42bd-49d7-a30b-82c353ef6575","PT",1,0,2012,7,NA
"187","10kmE265N193","2004-04","PRESERVED_SPECIMEN","837acfc2-f762-11e1-a439-00145eb45e9a","PT",1,0,2004,4,NA
"188","10kmE265N193","2001-08","PRESERVED_SPECIMEN","837acfc2-f762-11e1-a439-00145eb45e9a","PT",1,0,2001,8,NA
"189","10kmE265N194","2024-02","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",2,1,2024,2,NA
"190","10kmE265N194","2022-06","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2022,6,NA
"191","10kmE265N194","2021-03","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2021,3,NA
"192","10kmE265N194","2020-06","HUMAN_OBSERVATION","14d5676a-2c54-4f94-9023-1e8dcd822aa0","PT",1,0,2020,6,NA
"193","10kmE265N194","2020-03","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,3,NA
"194","10kmE265N194","2020-02","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,2,NA
"195","10kmE265N194","2020-01","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2020,1,NA
"196","10kmE265N194","2020-01","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2020,1,NA
"197","10kmE265N194","2019-12","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2019,12,NA
"198","10kmE265N194","2019-10","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2019,10,NA
"199","10kmE265N194","2019-10","HUMAN_OBSERVATION","2bf7b2c0-34dc-4458-8ee4-4f99fac03b33","PT",1,1,2019,10,NA
"200","10kmE265N194","2019-08","HUMAN_OBSERVATION","50c9509d-22c7-4a22-a47d-8c48425ef4a7","PT",1,1,2019,8,NA
